hour_of_day,is_ooh,energy_usage_kWh,occupancy_level,supply_cost_per_kWh,unit_rate_billed,usage_per_occupant,margin_ratio,rolling_usage_std_3h,high_risk_flag,region_North,region_South,region_West,contract_type_variable,asset_type_Auto Door System,asset_type_Bakery Oven,asset_type_Display Cooler,asset_type_Elevator,asset_type_Fire Alarm,asset_type_HVAC,asset_type_Hand Dryer,asset_type_Lighting,asset_type_Refrigeration Unit,asset_type_Security Camera,asset_type_Server Rack,asset_type_Smart Meter,asset_type_Solar Panel Inverter,asset_type_Water Pump,hour_bucket_evening,hour_bucket_morning,hour_bucket_night,predicted_margin
22,1,29.902586210460694,0.7753778123723298,0.1105974774625891,0.1592027039537574,38.5155084727231,0.4394772886022738,21.64995120203869,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,34.270745770426956
9,0,68.87593546460637,0.6250909309182833,0.1010833454269905,0.1415640971132749,110.00947636086424,0.4004684784801503,22.07192083769698,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,73.74623867390255
23,1,31.470923775712954,0.4064128111731522,0.0828756189247054,0.1176580935053151,77.24578833221246,0.4196932906546057,3.930091786747136,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,35.55813602241187
10,0,29.227248588160016,0.6343026149167061,0.0877475155891605,0.1088787724340943,46.00523892380322,0.2408179229696771,19.272932694912114,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,32.682143655924186
12,0,45.91577795671703,0.5110859024037009,0.0898081334858744,0.1111380641139524,89.66421012800994,0.2375049794928579,20.92641109025859,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.01751685433547
23,1,115.06150251962382,0.416819005157241,0.1141107512748337,0.1455454249096302,275.3859951304078,0.2754749166233263,48.68280966630273,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,122.31488915079153
23,1,14.820496255912136,0.3276558719790167,0.1119875795620629,0.1495478149360212,45.094268867523425,0.33539441799166414,50.6641703943288,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,18.91509603033233
2,1,25.32072589148067,0.6335638661152949,0.0944328853155165,0.1370486844162268,39.90256496401279,0.45127945347642084,19.410147579184372,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,28.241469123044673
10,0,50.65508576625133,0.9643514465561318,0.0818919886122572,0.1191468049078066,52.47320646481874,0.45492516567834473,16.433413458173895,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,55.03053197752699
23,1,37.74264312813533,0.6747283018287609,0.0951540829560459,0.1369271789136313,55.85476148622209,0.4390035439875336,18.20512559901029,0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,42.39081295833461
